,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Week,PlayerID
0,Ryan Tannehill,TEN,21,35,212,11,26.8,270,7.7,133,6.3,3.8,79,3.8,0,0.0%,7,20.0%,6,12,1,5,12,28.6%,1,16.0,1,TannRy00
1,Matthias Farley,TEN,1,1,6,1,100.0,4,4.0,4,4.0,4.0,2,2.0,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,1,FarlMa00
2,Ryan Tannehill,TEN,27,40,347,16,37.2,402,10.1,236,8.7,5.9,111,4.1,5,12.8%,6,15.4%,3,10,0,5,8,17.8%,2,13.0,2,TannRy00
3,Ryan Tannehill,TEN,18,27,197,11,39.3,176,6.5,84,4.7,3.1,113,6.3,2,7.7%,5,19.2%,1,7,0,1,2,6.5%,3,19.3,3,TannRy00
4,Ryan Tannehill,TEN,30,49,298,17,30.4,404,8.2,115,3.8,2.3,183,6.1,3,6.1%,9,18.4%,7,14,1,6,14,24.6%,1,7.0,4,TannRy00
5,Ryan Tannehill,TEN,14,22,197,10,40.0,178,8.1,93,6.6,4.2,104,7.4,0,0.0%,4,18.2%,3,9,1,4,8,30.8%,1,8.0,5,TannRy00
6,Ryan Tannehill,TEN,18,29,216,9,31.0,254,8.8,132,7.3,4.6,84,4.7,0,0.0%,5,19.2%,0,9,6,2,8,27.6%,0,,6,TannRy00
7,Ryan Tannehill,TEN,21,27,270,12,42.9,201,7.4,139,6.6,5.1,131,6.2,0,0.0%,2,7.7%,1,11,5,3,9,30.0%,2,3.0,7,TannRy00
8,Derrick Henry,TEN,1,1,5,1,100.0,5,5.0,5,5.0,5.0,0,0.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,7,HenrDe00
9,Ryan Tannehill,TEN,23,33,265,10,27.8,221,6.7,136,5.9,4.1,129,5.6,0,0.0%,6,18.8%,3,7,1,2,6,16.7%,0,,8,TannRy00
10,A.J. Brown,TEN,0,1,0,0,0.0,15,15.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,8,BrowAJ00
11,Ryan Tannehill,TEN,19,27,143,9,30.0,109,4.0,40,2.1,1.5,103,5.4,2,7.7%,2,7.7%,3,13,0,3,6,20.0%,0,,9,TannRy00
12,Ryan Tannehill,TEN,19,27,213,10,34.5,142,5.3,88,4.6,3.3,125,6.6,2,7.4%,3,11.1%,2,5,0,4,6,20.0%,1,2.0,10,TannRy00
13,Ryan Tannehill,TEN,35,52,323,19,35.2,432,8.3,201,5.7,3.9,122,3.5,1,2.0%,12,23.5%,2,12,1,6,9,16.7%,0,,11,TannRy00
14,Ryan Tannehill,TEN,11,21,93,6,26.1,128,6.1,59,5.4,2.8,34,3.1,0,0.0%,2,9.5%,2,8,0,3,5,19.2%,3,7.7,12,TannRy00
15,Ryan Tannehill,TEN,20,31,191,10,28.6,147,4.7,72,3.6,2.3,119,6.0,2,6.7%,8,26.7%,4,10,5,6,15,39.5%,3,9.0,14,TannRy00
16,Ryan Tannehill,TEN,23,32,153,8,22.2,217,6.8,72,3.1,2.3,81,3.5,3,9.4%,4,12.5%,4,10,3,3,10,27.0%,1,4.0,15,TannRy00
17,Ryan Tannehill,TEN,22,29,209,11,33.3,217,7.5,133,6.0,4.6,76,3.5,1,3.4%,2,6.9%,4,8,2,4,10,29.4%,1,23.0,16,TannRy00
18,A.J. Brown,TEN,0,1,0,0,0.0,27,27.0,0,,0.0,0,,0,0.0%,1,100.0%,0,0,0,0,0,0.0%,0,,16,BrowAJ00
19,Ryan Tannehill,TEN,13,18,120,7,36.8,134,7.4,44,3.4,2.4,76,5.8,2,11.1%,1,5.6%,1,11,1,1,3,15.8%,0,,17,TannRy00
20,Ryan Tannehill,TEN,23,32,287,16,48.5,327,10.2,181,7.9,5.7,106,4.6,0,0.0%,5,15.6%,1,10,4,6,11,33.3%,0,,18,TannRy00
